date,actualCovidCases,predictedCovidCases
2020-06-25,460.00000000000006,620.202618509531
2020-06-26,457.0,581.9430214166641
2020-06-27,446.0,534.4910462498665
2020-06-28,448.0,478.2293334007263
2020-06-29,447.00000000000006,464.41841065883636
2020-06-30,441.00000000000006,439.7240526974201
2020-07-01,438.0,421.1728643774986
2020-07-02,435.0,413.7905243933201
2020-07-03,431.00000000000006,410.04071497917175
2020-07-04,446.0,398.3816618323326
2020-07-05,444.00000000000006,393.3024707734585
2020-07-06,435.0,406.9130438864231
2020-07-07,423.00000000000006,397.6931000947952
2020-07-08,410.0,392.6401047706604
2020-07-09,394.0,384.2189440727234
2020-07-10,377.00000000000006,377.87982535362244
2020-07-11,330.0,361.3452519476414
2020-07-12,304.0,338.53729824721813
2020-07-13,296.0,345.87245684862137
2020-07-14,281.0,322.58154264092445
2020-07-15,274.0,315.9371252954006
2020-07-16,287.0,306.3155689239502
2020-07-17,271.0,295.0066502094269
2020-07-18,263.0,279.21344515681267
2020-07-19,257.0,261.6248359233141
2020-07-20,252.0,261.38274332880974
2020-07-21,244.0,252.2317138314247
2020-07-22,232.0,238.86470708251
2020-07-23,200.0,235.3489779382944
2020-07-24,206.00000000000003,229.69925124943256
2020-07-25,209.0,211.26492662727833
2020-07-26,199.0,194.17416089773178
2020-07-27,190.00000000000003,201.48503343760967
2020-07-28,191.00000000000003,190.8716509193182
2020-07-29,188.0,181.68921560049057
2020-07-30,191.00000000000003,183.57671999931335
2020-07-31,186.00000000000003,188.18380662798882
2020-08-01,183.00000000000003,173.54278837889433
2020-08-02,177.0,170.5112340450287
2020-08-03,168.0,191.68394702672958
2020-08-04,152.0,181.6749968379736
2020-08-05,137.0,180.48510436713696
2020-08-06,123.00000000000001,174.26448917388916
2020-08-07,119.00000000000001,167.6865367591381
2020-08-08,109.00000000000001,140.3880902826786
2020-08-09,107.00000000000001,125.31865137815475
2020-08-10,110.0,125.62540301680565
2020-08-11,106.0,125.22247234731913
2020-08-12,109.00000000000001,124.38200856000185
2020-08-13,108.0,125.58098235726357
2020-08-14,96.0,131.0103493630886
2020-08-15,90.0,122.91348023712635
2020-08-16,85.0,110.12304949760437
2020-08-17,83.0,113.44172942638397
2020-08-18,87.0,107.49272373318672
2020-08-19,82.0,93.60305810719728
